x,y
1143276,1689259
1144373,1689369
1143940,1689301
1142455,1689646
1143836,1690086
1143865,1689629
1144035,1688983
1146835,1683551
1146572,1684281
1146552,1683875
1146326,1683985
1146766,1684598
1147075,1684860
1146979,1684943
1147203,1685313
1146808,1685350
1146710,1684745
1147691,1685646
1146899,1685726
1147350,1685621
1147648,1686030
1148376,1686228
1147017,1686370
1147077,1686867
1146665,1687339
1147539,1687105
1147006,1687050
1147284,1687026
1133998,1682555
1134400,1686353
1138111,1684900
1136253,1684862
1135332,1684881
1134967,1686819
1135490,1689149
1135829,1689438
1135175,1686298
1156289,1694763
1158168,1703877
1155937,1696212
1152780,1704551
1156146,1695654
1100017,1763394
1097734,1763696
1099557,1763531
1099035,1763702
1098179,1763862
1098627,1763794
1100468,1764097
1097445,1764277
1098143,1764274
1097957,1764311
1098824,1764375
1100289,1764674
1098503,1764897
1098825,1764826
1098215,1764965
1099701,1764572
1099415,1764679
1099393,1764262
1099661,1764351
1098725,1763982
1099280,1763798
1099703,1764173
1101711,1763985
1101626,1765009
1101802,1765076
1102256,1766022
1100569,1765523
1094905,1762627
1095356,1763523
1095488,1762909
1095230,1765223
1096696,1764495
1095249,1764283
1095642,1760134
1097220,1760815
1096120,1760829
1099893,1761110
1097491,1760920
1097794,1762618
1097768,1762305
1099146,1761485
1098432,1761528
1099170,1761148
1098178,1761354
1100097,1767637
1099327,1766089
1093882,1771315
1094482,1770373
1094607,1769040
1103400,1758540
1100112,1759749
1109226,1760967
1108821,1761150
1101504,1760932
1100441,1761039
1102517,1763075
1101690,1763103
1100931,1763562
1100589,1763145
1100907,1763126
1100114,1762599
1101591,1762500
1100494,1761729
1094883,1759776
1095238,1760199
1095469,1760619
1093089,1760573
1095064,1760575
1094639,1762474
1093066,1761914
1089947,1756374
1089461,1756187
1090948,1756657
1090304,1756875
1091443,1757459
1090183,1757319
1084432,1762800
1089964,1764399
1087020,1762940
923394,1940992
912016,1943409
924373,1942197
923274,1942389
923560,1942775
925667,1942961
927260,1938140
929264,1938564
929071,1938076
926368,1939180
927422,1939077
926569,1940824
924199,1940666
927525,1940846
928321,1940348
927498,1940225
926373,1939555
924840,1933391
924321,1932806
926689,1933438
928691,1935742
925974,1936751
925516,1936825
927163,1935438
930674,1936166
933192,1938967
929778,1938034
929298,1940720
930964,1939910
929907,1939233
930213,1942510
930746,1943835
932027,1945291
931877,1943392
931267,1947611
931281,1947904
931332,1949180
932936,1950074
931834,1949606
931328,1949624
931312,1948981
931297,1948187
924791,1946626
923524,1947325
927334,1950633
926008,1948188
927213,1947585
913044,1971361
910951,1970471
910572,1972408
911174,1971859
911486,1971814
947247,1682676
948043,1681781
947589,1683158
947427,1682819
946435,1683716
946038,1684199
946289,1684411
948255,1684546
948160,1685122
946980,1684272
948093,1684096
947369,1683959
947852,1683668
947339,1683535
941920,1681077
943030,1683243
940794,1684630
940615,1684845
943252,1684865
941322,1685033
943815,1685294
941340,1685435
943278,1685313
940934,1684382
943878,1684399
941106,1684453
943250,1684268
942547,1684235
941323,1684128
944964,1679762
944658,1682089
945197,1680427
946629,1683440
945656,1683358
944562,1683384
946278,1682261
945944,1682209
945377,1682256
945005,1682278
947978,1685367
945240,1688184
944841,1689755
943457,1687015
935454,1682705
937883,1687347
935740,1683161
939884,1689858
938898,1688574
938448,1688596
937972,1687806
996075,1813289
995136,1814071
994033,1814706
994168,1814359
995022,1814372
995113,1815162
993691,1814756
994903,1814686
993921,1814943
995357,1816069
994256,1815946
994818,1816250
993899,1816657
994061,1816321
995147,1816469
994484,1817395
994778,1817112
993687,1815628
995278,1815476
